Date,Price,Volume
2021-04-27,14653.05,442211685
2021-04-28,14864.55,453990807
2021-04-29,14894.9,511466673
2021-04-30,14631.1,594744498
2021-05-03,14634.15,443410846
2021-05-04,14496.5,479657079
2021-05-05,14617.85,437261063
2021-05-06,14724.8,445281496
2021-05-07,14823.15,483677266
2021-05-10,14942.35,510598577
2021-05-11,14850.75,616204478
2021-05-12,14696.5,620318215
2021-05-14,14677.8,602738614
2021-05-17,14923.15,534516176
2021-05-18,15108.1,571923125
2021-05-19,15030.15,563293717
2021-05-20,14906.05,467455658
2021-05-21,15175.3,557730470
2021-05-24,15197.7,566722866
2021-05-25,15208.45,417323446
2021-05-26,15301.45,377682051
2021-05-27,15337.85,682374351
2021-05-28,15435.65,455582440
2021-05-31,15582.8,435999456
2021-06-01,15574.85,409562322
2021-06-02,15576.2,428641666
2021-06-03,15690.35,410240584
2021-06-04,15670.25,414162241
2021-06-07,15751.65,393970049
2021-06-08,15740.1,378164658
2021-06-09,15635.35,457855735
2021-06-10,15737.75,298297041
2021-06-11,15799.35,363011297
2021-06-14,15811.85,392862037
2021-06-15,15869.25,323262818
2021-06-16,15767.55,340191175
2021-06-17,15691.4,357649243
2021-06-18,15683.35,640821642
2021-06-21,15746.5,351530072
2021-06-22,15772.75,322237561
2021-06-23,15686.95,287536735
2021-06-24,15790.45,316662241
2021-06-25,15860.35,314614380
2021-06-28,15814.7,255099272
2021-06-29,15748.45,360334724
2021-06-30,15721.5,262386323
2021-07-01,15680.0,224921644
2021-07-02,15722.2,254808999
2021-07-05,15834.35,207032153
2021-07-06,15818.25,391410742
2021-07-07,15879.65,329308646
2021-07-08,15727.9,307928495
2021-07-09,15689.8,243249366
2021-07-12,15692.6,216272488
2021-07-13,15812.35,246676549
2021-07-14,15853.95,239924352
2021-07-15,15924.2,284851049
2021-07-16,15923.4,276298105
2021-07-19,15752.4,242131813
2021-07-20,15632.1,274284165
2021-07-22,15824.05,265250867
2021-07-23,15856.05,294098244
2021-07-26,15824.45,267076679
2021-07-27,15746.45,311012065
2021-07-28,15709.4,318601589
2021-07-29,15778.45,401584915
2021-07-30,15763.05,400021237
2021-08-02,15885.15,244847433
2021-08-03,16130.75,341289658
2021-08-04,16258.8,427337644
2021-08-05,16294.6,418174517
2021-08-06,16238.2,320087281
2021-08-09,16258.25,240452917
2021-08-10,16280.1,287989486
2021-08-11,16282.25,277895886
2021-08-12,16364.4,280181324
2021-08-13,16529.1,321866286
2021-08-16,16563.05,254049330
2021-08-17,16614.6,297388470
2021-08-18,16568.85,251796822
2021-08-20,16450.5,350819323
2021-08-23,16496.45,275597782
2021-08-24,16624.6,275362819
2021-08-25,16634.65,265920141
2021-08-26,16636.9,253530997
2021-08-27,16705.2,217405743
2021-08-30,16931.05,283483108
2021-08-31,17132.2,464390247
2021-09-01,17076.25,301894634
2021-09-02,17234.15,242377518
2021-09-03,17323.6,261373795
2021-09-06,17377.8,228045532
2021-09-07,17362.1,243417811
2021-09-08,17353.5,252652423
2021-09-09,17369.25,241509352
2021-09-13,17355.3,241053924
2021-09-14,17380.0,230354386
2021-09-15,17519.45,388191629
2021-09-16,17629.5,503310763
2021-09-17,17585.15,508285916
2021-09-20,17396.9,339102046
2021-09-21,17562.0,363578479
2021-09-22,17546.65,295191136
2021-09-23,17822.95,320514486
2021-09-24,17853.2,360130853
2021-09-27,17855.1,295714657
2021-09-28,17748.6,397997281
2021-09-29,17711.3,562237732
2021-09-30,17618.15,378592721
2021-10-01,17532.05,305763919
2021-10-04,17691.25,295761839
2021-10-05,17822.3,427000191
2021-10-06,17646.0,395833550
2021-10-07,17790.35,419890959
2021-10-08,17895.2,324066351
2021-10-11,17945.95,375756457
2021-10-12,17991.95,355568313
2021-10-13,18161.75,506679748
2021-10-14,18338.55,538714440
2021-10-18,18477.05,469883515
2021-10-19,18418.75,368230309
2021-10-20,18266.6,371276478
2021-10-21,18178.1,365902008
2021-10-22,18114.9,324748084
2021-10-25,18125.4,418703647
2021-10-26,18268.4,341377869
2021-10-27,18210.95,335248487
2021-10-28,17857.25,374205784
2021-10-29,17671.65,336466864
2021-11-01,17929.65,281190130
2021-11-02,17888.95,296441997
2021-11-03,17829.2,330995982
2021-11-04,17916.8,48520856
2021-11-08,18068.55,338919483
2021-11-09,18044.25,270197527
2021-11-10,18017.2,261446523
2021-11-11,17873.6,232121151
2021-11-12,18102.75,249111898
2021-11-15,18109.45,280428633
2021-11-16,17999.2,267431829
2021-11-17,17898.65,295715938
2021-11-18,17764.8,278425148
2021-11-22,17416.55,356400425
2021-11-23,17503.35,308843255
2021-11-24,17415.05,298052158
2021-11-25,17536.25,255947032
2021-11-26,17026.45,356330009
2021-11-29,17053.95,348888750
2021-11-30,16983.2,497999836
2021-12-01,17166.9,295542125
2021-12-02,17401.65,279867500
2021-12-03,17196.7,292526485
2021-12-06,16912.25,231716681
2021-12-07,17176.7,254144221
2021-12-08,17469.75,257791948
2021-12-09,17516.85,237170272
2021-12-10,17511.3,204467484
2021-12-13,17368.25,256560534
2021-12-14,17324.9,270965586
2021-12-15,17221.4,214972109
2021-12-16,17248.4,219496063
2021-12-17,16985.2,354591366
2021-12-20,16614.2,330614079
2021-12-21,16770.85,241030834
2021-12-22,16955.45,207946105
2021-12-23,17072.6,196965302
2021-12-24,17003.75,182564833
2021-12-27,17086.25,144777457
2021-12-28,17233.25,176026100
2021-12-29,17213.6,161679423
2021-12-30,17203.95,320831676
2021-12-31,17354.05,167025720
2022-01-03,17625.7,200456430
2022-01-04,17805.25,247437472
2022-01-05,17925.25,251460038
2022-01-06,17745.9,236454824
2022-01-07,17812.7,239338015
2022-01-10,18003.3,232418075
2022-01-11,18055.75,220238796
2022-01-12,18212.35,244974287
2022-01-13,18257.8,303700545
2022-01-14,18255.75,229451608
2022-01-17,18308.1,266702919
2022-01-18,18113.05,227507319
2022-01-19,17938.4,276662654
2022-01-20,17757.0,258094246
2022-01-21,17617.15,277645373
2022-01-24,17149.1,323847388
2022-01-25,17277.95,326515896
2022-01-27,17110.15,395596577
2022-01-28,17101.95,355284285
2022-01-31,17339.85,321660346
2022-02-01,17576.85,386391485
2022-02-02,17780.0,271205907
2022-02-03,17560.2,226614989
2022-02-04,17516.3,261434170
2022-02-07,17213.6,265037933
2022-02-08,17266.75,268526210
2022-02-09,17463.8,236350514
2022-02-10,17605.85,273606440
2022-02-11,17374.75,253141660
2022-02-14,16842.8,305510740
2022-02-15,17352.45,298658142
2022-02-16,17322.2,244549223
2022-02-17,17304.6,232136131
2022-02-18,17276.3,189620888
2022-02-21,17206.65,215183301
2022-02-22,17092.2,300131995
2022-02-23,17063.25,200229631
2022-02-24,16247.95,457967874
2022-02-25,16658.4,329780732
2022-02-28,16793.9,404214666
2022-03-02,16605.95,517723542
2022-03-03,16498.05,442068263
2022-03-04,16245.35,456143040
2022-03-07,15863.15,585403660
2022-03-08,16013.45,543600673
2022-03-09,16345.35,462231428
2022-03-10,16594.9,486445481
2022-03-11,16630.45,343717045
2022-03-14,16871.3,314669685
2022-03-15,16663.0,381631902
2022-03-16,16975.35,259973396
2022-03-17,17287.05,448335248
2022-03-21,17117.6,285451208
2022-03-22,17315.5,338263468
2022-03-23,17245.65,292120348
2022-03-24,17222.75,290280124
2022-03-25,17153.0,237115741
2022-03-28,17222.0,253240837
2022-03-29,17325.3,235149625
2022-03-30,17498.25,505031841
2022-03-31,17464.75,281111679
2022-04-01,17670.45,291773447
2022-04-04,18053.4,345526502
2022-04-05,17957.4,283453612
2022-04-06,17807.65,328824420
2022-04-07,17639.55,308840215
2022-04-08,17784.35,274447433
2022-04-11,17674.95,251701846
2022-04-12,17530.3,266029060
2022-04-13,17475.65,245061941
2022-04-18,17173.65,376130248
2022-04-19,16958.65,401399563
2022-04-20,17136.55,286069736
2022-04-21,17392.6,285200022
2022-04-22,17171.95,262739740
2022-04-25,16953.95,275685925
2022-04-26,17200.8,261065753
2022-04-27,17038.4,265140480
2022-04-28,17245.05,312914417
2022-04-29,17102.55,336243642
2022-05-02,17069.1,278155513
2022-05-04,16677.6,310632799
2022-05-05,16682.65,265793403
2022-05-06,16411.25,300527719
2022-05-09,16301.85,288402950
2022-05-10,16240.05,283061200
2022-05-11,16167.1,284294438
2022-05-12,15808.0,314921678
2022-05-13,15782.15,369135540
2022-05-16,15842.3,217646558
2022-05-17,16259.3,295687774
2022-05-18,16240.3,290441105
2022-05-19,15809.4,313876082
2022-05-20,16266.15,252402013
2022-05-23,16214.7,293829853
2022-05-24,16125.15,249778296
2022-05-25,16025.8,243342347
2022-05-26,16170.15,314305739
2022-05-27,16352.45,274064956
2022-05-30,16661.4,251400757
2022-05-31,16584.55,651613610
2022-06-01,16522.75,249619038
2022-06-02,16628.0,235958283
2022-06-03,16584.3,245514871
2022-06-06,16569.55,233589132
2022-06-07,16416.35,233814633
2022-06-08,16356.25,243481044
2022-06-09,16478.1,204954394
2022-06-10,16201.8,189680523
2022-06-13,15774.4,225534385
2022-06-14,15732.1,225425862
2022-06-15,15692.15,183011236
2022-06-16,15360.6,264735957
2022-06-17,15293.5,342629997
2022-06-20,15350.15,260022438
2022-06-21,15638.8,262794687
2022-06-22,15413.3,220889589
2022-06-23,15556.65,259171810
2022-06-24,15699.25,219599372
2022-06-27,15832.05,210932505
2022-06-28,15850.2,251865155
2022-06-29,15799.1,444949551
2022-06-30,15780.25,306027777
2022-07-01,15752.05,364090131
2022-07-04,15835.35,304328467
2022-07-05,15810.85,254164463
2022-07-06,15989.8,288375300
2022-07-07,16132.9,264615218
2022-07-08,16220.6,281102369
2022-07-11,16216.0,255915072
2022-07-12,16058.3,208648707
2022-07-13,15966.65,233264100
2022-07-14,15938.65,228603433
2022-07-15,16049.2,205768079
2022-07-18,16278.5,227744850
2022-07-19,16340.55,222630928
2022-07-20,16520.85,284359582
2022-07-21,16605.25,243625339
2022-07-22,16719.45,190906776
